address,voting_power
0x359aA8d269eD91e07D5C41480afB7B64e1916f5D,"8,804"
0xD1e25B6eea2FEb5eB388982F7742A6BEc3C71e07,"8,758"
0x18FF706bA77F2Fe899B06A66ADE72CDc07356Add,"8,577"
0xA5FbA01Fd757Eb0d570c07530E7cc72036700Ca8,"8,427"
0x3c8c228E2fD2F398b423e446778c45014AF0FACb,"8,426"
0x0461B56aD2469E07D3e48447cba252292d0534E9,"8,100"
0x5BFE937a0db35c2349395E2F0BC7E6B7276bED2e,"7,825"
0xEd7c4e6aF4efc66F167BA742B3fe211C88F76372,"7,753"
0x0F8D1Ae69cFA9A6329baFF278Ce11332e75B807C,"7,647"
0xB49227D73aA0425fa169e03A0fDaef53b78157A5,"7,039"
0x30bf8631D28843E4f7a905D5C5bfD49f87e0bB83,"6,993"
0x4D5A1505A185cE824D56Da7ebBE9920861037C78,"6,914"
0x6a84Ce15661C53021A420a2579d8CEEb2723221F,"6,768"
0x0D770336f098a0C4b922dF8969420467b8082160,"6,729"
0xcA7a6a53d5576102765a0281c723f863D881DC96,"6,721"
0x6Bb275953D6297261386A8eAC44db37e8f278eBF,"6,618"
0x69155E7cA2E688ccDc247f6c4DDF374b3ae77Bd6,"6,468"
0x7DA04356B9536F4a949Bfc17114e242e84AFCdF4,"6,170"
0x45C94C09973dA8dc6425BB66f56cBdb3a458a895,"6,097"
0x877bfd84480d236Ff4209050eEE02CFbcc0BCC27,"6,007"
0x25700B5DD64accC137c9B5563A9e28C5fCEd4E18,"5,836"
0x303fb49bB56436bFf9e2cfb9a1E26f8dcECd9039,"5,794"
0x8322329f02c8eBf0594d1890Ee2F77793399403F,"5,705"
0x94109b35Fee4c92489Beb6d14a973873FA39f3ec,"5,259"
0xf05D7Df85B53049d16484D4A3201990470C1184a,"5,245"
0x4f40577bE405966eE6570665Fd2cF4E9724892C2,"5,124"
0x18348cC450BbcbE7abb774df4013980a127Af364,"4,951"
0xa3C3496af729cD9AE8Aa09fF2613f7b76b1d4DEB,"4,868"
0x6E2c266a5fd854373ede37CDcb1bF3Eb06900B07,"4,758"
0x7DA0e97CB78832463914392B5d414C1bEFA1fB01,"4,702"
0x88B8dD3E10788B48314567F512CD3180716F8D5D,"4,625"
0x4dfBd563F7055b8Ec1666A41e07a36f0f9f98B22,"4,619"
0x4d332a238A47eAc62eEee134ED153ef5397578ae,"4,619"
0x597BEa912e8734E17DDc4f43A489a1472d9459cF,"4,574"
0xE0263D9BFcadd06C0ba09bB27A7F04C8306724aB,"4,538"
0x38593d7011bFBdEEc192ae9C779bEfEbB424C834,"4,511"
0x29B10B9081b2E4Aed5411a7154bB8559C89E8785,"4,260"
0x034494486dD2eAd4099bF4f18cA959fe1f01b1Be,"4,121"
0xf3a019D2f83D311bcDA86E380fBB36041ecfff64,"4,111"
0x13CA53Db076D88994F01774846759c6f45b6Fdc3,"4,055"
0xC529f8B3Ba2B9ffC16c00f108780E91E752D8567,"4,000"
0x4581b0c0D0d6Db8Bf970E93d6bAa004F0254d6Fb,"4,000"
0xD0886275a97757676f051B29D3b636bADcB1Acb5,"4,000"
0x266819E6C2Bc359EEF9f2F850E3701F56a16E8f7,"4,000"
0x16b0d2FF92fB7651Cb6C5be722a32376BB190315,"3,728"
0x3f6364f662B0127a3430bb9a9Fc16B602Da9a188,"3,701"
0x87104B793FF0d15B2e7596d08AC1C832a122d47C,"3,679"
0x6C73d98bF5d0e92b2a9FBbe74d0BFc8dd157b9Ee,"3,652"
0x88410277b308bb03D6a4909AcfF2F426f6875488,"3,643"
0xE23507DB4351cD60067a8f2D328328BD9Fa8Df34,"3,643"
0xC5aFc3a0F462C5a387393421b6A253204a3Be8D2,"3,643"
0x652A6BA1C3EEa59832D0Cccc0005eBB2EBcA9AE3,"3,643"
0xc0fB2FEf940B40A57901859375bF804bA981947d,"3,643"
0x82fd2c26c965a86e5e686b97CD55462e29C5FA66,"3,643"
0x1a918C2F06A44D1b267c4066F23dA4dcdA5004cf,"3,643"
0x18d56185d689F1d9b3d076985fE6b24e2C067abe,"3,643"
0x7CB41157a841509e65b61404eCC7a045F68BaBe2,"3,643"
0x4fA252d4efF26Dbfda5815aA6Fb08870Cbb8aB2a,"3,643"
0x1529cc5413E6a282DC5A50d4ec36d1A18aFF8Da3,"3,643"
0x228213456E528D9d52afB5ea7c4c61FB102bE73b,"3,643"
0x303e657A3879Ad66289cCE85eD2C928b2AB46797,"3,643"
0x86b419b4ba0aEe37b2aE385c3A00ad9eB3c43e93,"3,643"
0x1dcB7751a3040505919dc4093d1568ed2840140d,"3,643"
0x1d7A87fC393f4B41BF75eEC4d96A4cCD0F99046d,"3,643"
0x9C16d94C895AD52eA880D02d11A22161048a98e3,"3,643"
0x5A32c7a69ED3934EAf15497660cC6F9498512a44,"3,643"
0xc657FA0D6719Cb5F294506d0AAfffd1Ad84c056A,"3,643"
0x5321230699f17Aa1A242a80D8ECee9233592BaF9,"3,643"
0xBcd6fd639044C26c7a24288aDf62Eb56BF4511bc,"3,643"
0xFb245DB74Da26226cf183F13287f7110C27Fd0c7,"3,643"
0x26ef296BD133Aa54aaEFEEEDaE62502b78E2E301,"3,643"
0xF01140a33593d481B9482561fa62A7A1E05FF81C,"3,643"
0x0a672383bc609c8DC0a746E358CAE1a7DB555AfF,"3,643"
0x2188d1A5e18768EF32a3C2E647207cA3627d3ffD,"3,643"
0xDACBf0F8199C1E5AE5356A9D3a3B7d5F3e131360,"3,643"
0x8e3C3084dC48Cac05e46346849125f684160B117,"3,643"
0xCC7a2a733AB437Ba54b9f1aBe9A887fb420b36F9,"3,643"
0xDbDf14771f902D897c5643e2A8A490fD77F626CF,"3,643"
0x04F02909987b21FdcD45c8c4A2D3B9495787E2B9,"3,643"
0x8eEF779818Afa953b0652e45438423ebE089F55A,"3,643"
0x67faECd8AD9FDd4B9E8C2A34D6eBc9C1357a323f,"3,643"
0xF8e8F48D0E72e41A21acC8897d4012126D04De78,"3,643"
0xb8530006b544561E8Ae916bD34b06E6D7Ad0c001,"3,643"
0x3491aeF77C91edD435347CC61a926a31157a497d,"3,643"
0x2957C2968ebcB91f5683768a9bdC468d08C2a2C2,"3,643"
0x26d82ECacE3eA30A8F61CEc406aD8b8df5c7DE2d,"3,643"
0xeCF48883401Fb5861D39f1E06839e92260690C12,"3,643"
0x26cBdD5cD96833F9912f5F5Ee508537894b990c5,"3,597"
0x02a23d866697D9fE3133E1ff402F4Ee1Ed18a75b,"3,592"
0x19D7A7086E3a96E0aa783E59594eFf743eb12aCf,"3,555"
0xd9B325E4040AbdAe9aE4Bdc31bABF9698429aa53,"3,500"
0x60aC34086F18Ebeba5eECd14E80F4F288dAD5078,"3,422"
0x72d1f8B13D99f42213024029c2d7a51d1F43362b,"3,419"
0x410651714E33Ea6e547DcB1f9B34a3177DF0352B,"3,409"
0x6268117aeF166f984f1eAEcC090C02Ed9A276b9f,"3,227"
0x0be9f3d251947382ddc8D37771d3591C1B5A3cf6,"3,225"
0x25b797D1864dA8fAF8aff2f7AC7747C846d589bC,"3,166"
0x42697aB9819446150d4c943F404f0a202509e8b7,"3,133"
0xEcb2362D68B1b4EB6b54bC8a3B686fCE5c130130,"3,043"
0xE0279B1532c9f5De97cc2Ce5f47F8B8A5761265F,"3,040"
0xf211D1166b9a07109174372fA2471e211Ce7286f,"3,001"
0x888625598B5322160186f72AE5FF6539BC66436D,"2,962"
0x2BE972610A244A8D89E51196c58209b554638717,"2,939"
0xBf31E07c65Ea514Eb711899E48c1602A83889F4A,"2,600"
0xBE4332576B93C2C53cdd6B628C92882EbE7B7638,"2,336"
0xF95dFb129223Ae03Dc8121b16EE8C872DB8D396d,"2,111"
0xc1bc64efc56D7dBe2116c93d7CB7AA751c6E1a33,"2,000"
0x89f80508845277300e5bCd612904F7B4bf0d8369,"2,000"
0xf69f3f81f9f99B183fDeAD8266F5DE10D91a2A36,"2,000"
0xFb27353f238AaD22f37807442eD8cD55dE954f3F,"1,955"
0xBf0924a23B4Ed4422c953999988dbC8d7c29f94C,"1,946"
